FECHA,UTILH00,UTILH03,UTILH06,UTILH09,UTILH12,UTILH15,UTILH18,UTILH21,ANNO,MES,DIA,DIASEM
2015-05-17,2.37499703125371e-05,0.0358537051828685,0.457010678736652,0.747985315018356,0.711594110507362,0.368938288827139,0.0176837278953401,1.74999781250273e-05,2015,5,17,6
2015-05-18,2.6249967187541e-05,0.0337774577781778,0.442670696661629,0.73281158398552,0.707164116044855,0.368108289864638,0.0136562329297088,1.74999781250273e-05,2015,5,18,0
2015-05-19,2.24999718750352e-05,0.0096962378797026,0.117631102961121,0.264508419364476,0.147082316147105,0.0300449624437969,0.0004762494046882,1.87499765625293e-05,2015,5,19,1
2015-05-20,2.24999718750352e-05,0.0132712334109582,0.33287458390677,0.633820457724428,0.595963005046244,0.276248404689494,0.0098687376640779,1.87499765625293e-05,2015,5,20,2
2015-05-21,2.7499965625043e-05,0.037453703182871,0.465163168546039,0.77272278409652,0.728551589310514,0.391605760492799,0.0213112233609708,2.24999718750352e-05,2015,5,21,3
2015-05-22,1.87499765625293e-05,0.0387849515188106,0.476540654324182,0.777012778734027,0.742006572491784,0.393890757636553,0.0192974758781552,1.99999750000313e-05,2015,5,22,4
2015-05-23,2.6249967187541e-05,0.0375112031109961,0.469506913116359,0.755935305080869,0.669820412724484,0.310630861711423,0.0115387355765805,1.99999750000313e-05,2015,5,23,5
2015-05-24,2.37499703125371e-05,0.02242747196566,0.436090704886619,0.668400414499482,0.458445676942904,0.208630989211264,0.0101699872875159,1.87499765625293e-05,2015,5,24,6
2015-05-25,2.24999718750352e-05,0.0356512054359932,0.41434823206471,0.700342874571407,0.590346762066548,0.295032131209836,0.0170674786656517,1.87499765625293e-05,2015,5,25,0
2015-05-26,2.24999718750352e-05,0.0389737012828734,0.458023177471028,0.737489078138652,0.692222884721394,0.380464524419345,0.0227537215578481,1.99999750000313e-05,2015,5,26,1
2015-05-27,2.12499734375332e-05,0.0382237022203722,0.459285675892905,0.752892808883989,0.72006659991675,0.384350769561538,0.0228412214484732,1.99999750000313e-05,2015,5,27,2
2015-05-28,1.87499765625293e-05,0.0385787017766228,0.446604441744448,0.735027831215211,0.710672861658923,0.376928278839652,0.0216749729062839,2.12499734375332e-05,2015,5,28,3
2015-05-29,2.12499734375332e-05,0.0353787057766178,0.430783211520986,0.719570350537062,0.67706790366512,0.282867146416067,0.0073649907937615,2.24999718750352e-05,2015,5,29,4
